alignment length	percent ID
444	61.712
442	61.991
442	62.443
442	61.312
444	61.486
442	61.538
442	61.991
442	61.538
442	61.538
442	61.991
444	61.486
444	61.261
442	61.312
442	61.991
442	61.991
442	61.538
442	61.765
442	61.765
442	61.538
442	61.312
442	61.086
442	61.086
442	61.086
442	61.086
442	61.086
442	62.443
444	60.586
444	60.586
442	61.538
442	61.312
442	61.312
442	61.312
442	61.312
442	61.538
444	60.586
442	61.538
442	61.312
442	61.312
442	61.765
442	61.991
443	60.271
443	60.271
442	60.181
443	59.594
442	57.692
513	55.166
446	55.830
446	55.830
446	55.830
446	54.709
446	54.709
446	54.484
443	57.336
444	54.279
444	54.505
439	53.759
446	54.933
443	55.982
442	58.145
440	56.818
442	57.014
448	53.795
445	54.831
444	50.000
441	47.846
441	47.846
441	48.073
441	48.073
441	49.206
441	49.206
441	48.753
441	48.526
441	47.619
441	47.619
441	48.299
441	48.299
441	48.299
441	48.299
441	48.299
441	47.619
287	62.021
287	62.021
287	62.021
287	62.021
287	62.021
228	64.474
228	64.474
228	64.474
228	64.474
228	63.596
228	63.596
220	63.182
220	63.182
220	63.182
220	64.091
220	63.636
220	63.636
214	63.551
214	63.551
214	63.551
214	63.551
214	63.551
214	63.551
214	63.551
214	63.551
214	63.551
214	63.551
214	63.551
214	63.551
214	63.551
214	63.551
214	63.551
214	63.551
214	63.551
214	63.551
214	63.551
214	63.551
214	63.551
214	63.551
214	63.551
214	63.551
214	63.551
214	63.551
214	63.551
214	63.551
214	63.551
214	63.551
214	63.551
214	63.551
214	63.084
214	63.084
214	63.084
214	62.617
214	62.617
207	65.700
207	66.184
207	65.217
207	65.217
207	65.217
207	65.217
207	65.217
207	65.700
207	65.700
207	65.700
207	65.700
207	64.734
207	65.700
207	64.251
207	65.217
207	65.217
207	64.251
207	65.700
207	65.217
207	64.734
207	62.319
207	64.734
207	64.734
207	64.734
207	64.734
207	64.734
207	64.734
207	64.734
207	63.768
207	63.768
207	63.768
207	64.251
207	64.734
207	64.734
207	64.734
207	64.734
207	64.251
207	64.251
207	63.768
207	63.285
207	64.251
207	64.251
207	64.251
207	64.734
207	63.768
207	64.251
207	64.251
207	64.251
207	62.802
207	63.768
207	64.251
207	64.251
207	63.768
207	64.251
207	64.251
207	64.251
207	63.768
207	63.768
207	63.285
207	64.251
207	63.285
207	63.768
207	63.768
207	63.768
207	64.251
207	62.319
207	62.319
207	63.285
207	60.386
207	62.802
207	61.353
225	46.667
225	46.667
225	46.667
222	46.396
175	48.000
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	60.440
182	59.890
182	59.890
182	58.791
182	60.440
182	60.440
182	58.242
182	58.242
182	58.242
182	58.242
182	58.242
182	59.341
182	59.341
182	59.341
182	59.890
182	59.890
182	59.890
182	59.890
182	59.890
182	59.890
182	59.890
182	59.890
182	59.341
182	59.341
182	59.341
182	59.341
182	59.890
182	59.890
182	59.890
182	59.890
182	59.890
182	59.890
182	59.890
182	59.890
175	47.429
182	59.341
182	59.341
182	59.341
182	59.341
182	59.341
182	59.341
182	59.341
182	59.341
182	59.341
182	59.341
182	59.341
182	58.791
182	58.791
182	58.791
182	58.791
182	58.791
182	58.791
182	59.341
177	46.893
176	47.159
176	47.159
183	42.077
103	47.573
131	67.939
131	67.939
131	67.939
131	67.939
131	67.939
131	67.939
131	67.939
131	67.939
131	67.939
131	67.939
131	67.939
131	66.412
137	64.234
142	63.380
135	64.444
131	65.649
131	65.649
131	65.649
131	65.649
131	65.649
131	64.885
131	64.885
131	64.885
131	64.885
134	61.940
131	64.122
126	56.349
131	64.122
138	62.319
131	62.595
112	55.357
122	62.295
119	58.824
117	56.410
117	56.410
117	56.410
117	56.410
117	56.410
117	56.410
117	56.410
117	56.410
128	38.281
36	47.222
128	38.281
36	47.222
128	38.281
36	47.222
128	38.281
36	47.222
128	38.281
36	47.222
128	38.281
36	47.222
128	38.281
36	47.222
128	38.281
36	47.222
128	38.281
36	47.222
128	38.281
36	47.222
128	38.281
36	47.222
128	38.281
36	47.222
128	38.281
36	47.222
128	38.281
36	47.222
128	38.281
36	47.222
71	60.563
128	38.281
36	47.222
128	37.500
36	47.222
128	37.500
36	47.222
128	37.500
36	47.222
128	37.500
36	47.222
128	37.500
36	47.222
128	37.500
36	47.222
36	80.556
81	65.432
51	47.059
44	50.000
73	41.096
86	40.698
28	39.286
19	57.895
